week,views,followers,posts,chess,chess_com,lichess,chess_lag1,chess_com_lag1,lichess_lag1,views_diff,followers_diff,views_diff_lag1,followers_diff_lag1
5/19/2025,4405,13,0,70,5,11,62,6,11,-2035,-18,-7374,-25
5/26/2025,10705,47,1,88,6,11,70,5,11,6300,34,-2035,-18
6/2/2025,5934,27,0,76,6,11,88,6,11,-4771,-20,6300,34
6/9/2025,18288,97,1,70,6,10,76,6,11,12354,70,-4771,-20
6/16/2025,20457,92,0,65,6,11,70,6,10,2169,-5,12354,70
6/23/2025,24508,131,3,66,6,10,65,6,11,4051,39,2169,-5
6/30/2025,48190,187,5,65,6,10,66,6,10,23682,56,4051,39
7/7/2025,38357,134,3,67,5,10,65,6,10,-9833,-53,23682,56
7/14/2025,40387,122,2,78,6,11,67,5,10,2030,-12,-9833,-53
7/21/2025,51055,257,4,76,6,10,78,6,11,10668,135,2030,-12
7/28/2025,52452,257,3,75,6,11,76,6,10,1397,0,10668,135
8/4/2025,54638,210,4,72,7,11,75,6,11,2186,-47,1397,0
8/11/2025,47005,189,2,72,7,11,72,7,11,-7633,-21,2186,-47
8/18/2025,38098,167,2,73,6,11,72,7,11,-8907,-22,-7633,-21
8/25/2025,43812,165,2,73,7,10,73,6,11,5714,-2,-8907,-22
9/1/2025,38362,147,1,72,6,11,73,7,10,-5450,-18,5714,-2
9/8/2025,36730,118,2,76,6,11,72,6,11,-1632,-29,-5450,-18
9/15/2025,33130,130,2,77,7,11,76,6,11,-3600,12,-1632,-29
9/22/2025,31479,95,0,85,7,11,77,7,11,-1651,-35,-3600,12
9/29/2025,27218,46,1,71,7,11,85,7,11,-4261,-49,-1651,-35
10/6/2025,20783,50,0,70,6,11,71,7,11,-6435,4,-4261,-49
10/13/2025,17871,46,1,77,6,11,70,6,11,-2912,-4,-6435,4
10/20/2025,13457,29,0,72,6,11,77,6,11,-4414,-17,-2912,-4
10/27/2025,11818,26,0,75,7,11,72,6,11,-1639,-3,-4414,-17
11/3/2025,14985,22,1,81,7,11,75,7,11,3167,-4,-1639,-3
11/10/2025,11484,38,0,87,7,12,81,7,11,-3501,16,3167,-4
11/17/2025,12118,19,0,77,7,11,87,7,12,634,-19,-3501,16
11/24/2025,11646,4,0,73,7,11,77,7,11,-472,-15,634,-19
12/1/2025,11268,31,0,81,7,11,73,7,11,-378,27,-472,-15
12/8/2025,11076,13,0,83,8,12,81,7,11,-192,-18,-378,27
12/15/2025,12780,17,0,81,6,11,83,8,12,1704,4,-192,-18
12/22/2025,14474,27,1,78,6,10,81,6,11,1694,10,1704,4
12/29/2025,13355,29,0,78,6,10,78,6,10,-1119,2,1694,10
1/5/2026,12823,28,0,80,7,11,78,6,10,-532,-1,-1119,2
1/12/2026,12730,22,0,79,7,11,80,7,11,-93,-6,-532,-1
1/19/2026,30295,80,3,82,8,13,79,7,11,17565,58,-93,-6
1/26/2026,30123,77,2,90,8,12,82,8,13,-172,-3,17565,58
2/2/2026,28855,91,2,98,7,12,90,8,12,-1268,14,-172,-3
2/9/2026,33826,99,1,100,7,12,98,7,12,4971,8,-1268,14
2/16/2026,30608,99,2,89,7,11,100,7,12,-3218,0,4971,8
2/23/2026,31057,91,1,78,7,12,89,7,11,449,-8,-3218,0
3/2/2026,19862,38,0,80,7,12,78,7,12,-11195,-53,449,-8
3/9/2026,16431,34,0,79,8,12,80,7,12,-3431,-4,-11195,-53
3/16/2026,16122,47,0,82,8,12,79,8,12,-309,13,-3431,-4
3/23/2026,16511,28,0,92,9,14,82,8,12,389,-19,-309,13
3/30/2026,21061,46,2,88,7,12,92,9,14,4550,18,389,-19
4/6/2026,24367,50,1,NA,NA,NA,88,7,12,3306,4,4550,18
